ID,Customer,Customer Name,invoice_date,POS Profile,Total Quantity,Price List,Net Total,Grand Total,Total Taxes and Charges,Mode of Payment
ACC-SINV-2023-02783,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,8,Standard Selling,12025.86,13950,1924.14,Cash
ACC-SINV-2023-02782,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,6,Standard Selling,4655.17,5400,744.83,Cash
ACC-SINV-2023-02781,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,1,Standard Selling,603.45,700,96.55,M-PESA
ACC-SINV-2023-02780,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,1,Standard Selling,732.76,850,117.24,Cash
ACC-SINV-2023-02779,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,6,Standard Selling,2982.76,3460,477.24,M-PESA
ACC-SINV-2023-02778,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,4,Standard Selling,8534.48,9900,1365.52,Cash
ACC-SINV-2023-02777,Mr/Mrs Nduati,Mr/Mrs Nduati,2023-04-20,POS STATION ONE BEE CENTER,3,Standard Selling,5172.41,6000,827.59,M-PESA
ACC-SINV-2023-02776,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,2,Standard Selling,2155.17,2500,344.83,Cash
ACC-SINV-2023-02775,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,1,Standard Selling,689.66,800,110.34,Cash
ACC-SINV-2023-02774,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,1,Standard Selling,2413.79,2800,386.21,Cash
ACC-SINV-2023-02773,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,4,Standard Selling,2715.52,3150,434.48,Cash
ACC-SINV-2023-02772,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,14,Standard Selling,23784.48,27590,3805.52,M-PESA
ACC-SINV-2023-02766-1,KOSSI CAPITAL LTD,KOSSI CAPITAL LTD,2023-04-20,POS STATION ONE BEE CENTER,20,Standard Selling,20689.65,24000,3310.34,Cash
ACC-SINV-2023-02771,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,14,Standard Selling,18362.07,21300,2937.93,Cash
ACC-SINV-2023-02770,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,5,Standard Selling,13017.24,15100,2082.76,M-PESA
ACC-SINV-2023-02769,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,9,Standard Selling,2775.86,3220,444.14,Cash
ACC-SINV-2023-02768,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,4,Standard Selling,6034.48,7000,965.52,Cash
ACC-SINV-2023-02767,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,1,Standard Selling,2155.17,2500,344.83,Cash
ACC-SINV-2023-02766,KOSSI CAPITAL LTD,KOSSI CAPITAL LTD,2023-04-20,POS STATION ONE BEE CENTER,20,Standard Selling,20689.65,24000,3310.34,Cash
ACC-SINV-2023-02765,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,1,Standard Selling,689.66,800,110.34,M-PESA
ACC-SINV-2023-02764,MR KAMUNGE,MR KAMUNGE,2023-04-20,POS STATION ONE BEE CENTER,10,Standard Selling,11206.9,13000,1793.1,Cash
ACC-SINV-2023-02763,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,6,Standard Selling,23362.07,27100,3737.93,M-PESA
ACC-SINV-2023-02762,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,1,Standard Selling,646.55,750,103.45,Cash
ACC-SINV-2023-02761,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,3,Standard Selling,17241.38,20000,2758.62,M-PESA
ACC-SINV-2023-02760,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,7,Standard Selling,18275.86,21200,2924.14,Cash
ACC-SINV-2023-02759,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,3,Standard Selling,2887.93,3350,462.07,M-PESA
ACC-SINV-2023-02758,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,2,Standard Selling,2155.17,2500,344.83,Cash
ACC-SINV-2023-02757,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,1,Standard Selling,689.66,800,110.34,M-PESA
ACC-SINV-2023-02756,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,5,Standard Selling,6508.62,7550,1041.38,Credit Card
ACC-SINV-2023-02755,WESONGA,WESONGA ,2023-04-20,POS STATION ONE BEE CENTER,2,Standard Selling,4224.14,4900,675.86,Bank Draft
ACC-SINV-2023-02754,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,2,Standard Selling,1034.48,1200,165.52,Cheque
ACC-SINV-2023-02753,ERICK TEAM KUBWA,ERICK TEAM KUBWA,2023-04-20,POS STATION ONE BEE CENTER,5,Standard Selling,5732.76,6650,917.24,Wire Transfer
ACC-SINV-2023-02752,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,2,Standard Selling,387.93,450,62.07,Cash
ACC-SINV-2023-02751,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,3,Standard Selling,1551.72,1800,248.28,M-PESA
ACC-SINV-2023-02750,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,7,Standard Selling,19870.69,23050,3179.31,M-PESA
ACC-SINV-2023-02749,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,1,Standard Selling,517.24,600,82.76,M-PESA
ACC-SINV-2023-02748,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,1,Standard Selling,1034.48,1200,165.52,Cash
ACC-SINV-2023-02747,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,5,Standard Selling,2586.21,3000,413.79,M-PESA
ACC-SINV-2023-02746,Walk in,Walk in,2023-04-20,POS STATION ONE BEE CENTER,2,Standard Selling,14353.45,16650,2296.55,Cash
ACC-SINV-2023-02745,SHOSH PLOT,SHOSH PLOT,2023-04-20,POS STATION ONE BEE CENTER,2,Standard Selling,991.38,1150,158.62,Cash
